feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,emotion
-673.91614,88.26981,12.876281,19.375847,11.144217,21.512186,1.7958342,12.669813,2.342652,-6.4496236,0.07761807,4.393855,2.1727219,0.0037357656,0.0481703016493055,neutral
-776.58417,67.14871,8.78092,14.383939,-0.13287804,10.260218,-13.132438,6.926582,-9.562615,-9.002353,-1.769607,-4.113733,1.7367764,0.0017125234,0.0323059456480061,neutral
-752.79407,92.82699,13.840122,21.28855,7.730475,12.856149,1.9424821,8.698071,-0.63630056,-2.3548272,-3.3139076,-0.115121,4.0278907,0.0021314726,0.0425747255735759,neutral
-753.01434,54.917286,-8.304626,10.233337,-1.6515218,2.1753936,-11.139573,0.36381263,-10.149351,-5.9359107,-2.9854677,-3.9582968,-2.3144464,0.0014758859,0.0466578196894171,neutral
-625.9124,77.416275,10.293317,11.364497,7.8737054,13.188769,-8.483958,4.9011307,0.79378474,-4.9484944,-4.851121,-0.7333061,1.7137854,0.005303217,0.0580552842881944,neutral
-732.53143,75.36297,2.1393845,13.3207245,-5.1078787,13.785239,-8.48776,2.100258,-4.250009,-6.3844476,-5.926776,-5.4552913,1.4676827,0.0021420096,0.0612785809200879,neutral
-677.04517,79.1009,1.4322944,8.173246,3.9377906,18.123615,-9.02632,1.2000734,-3.7304273,-2.6145797,-7.2290792,-4.81446,1.1606925,0.0044173836,0.0620883118872549,neutral
-708.18774,60.263954,-3.812189,4.6156693,-4.9414964,-0.60377145,-9.850572,-3.9595113,-10.822568,-8.121636,-4.7690997,-6.3833876,-6.2687345,0.0024016076,0.0484647202765804,neutral
-719.1283,70.20157,1.168397,13.122543,7.836951,14.41129,-4.1113596,4.468973,-3.5393667,-3.6586072,-7.648504,-1.4770775,3.031821,0.0022580326,0.0529044154353035,neutral
-677.49725,66.73792,-7.066272,6.711428,2.3170297,2.5784461,-9.735838,3.7399817,-9.666592,-1.5748338,-2.7584553,-1.9055327,-2.6086483,0.0033259117,0.0599358011279585,neutral
-652.3244,82.7199,5.6668177,16.565447,8.281691,14.928034,-0.48059693,-0.55505985,-6.164851,0.99932706,1.9675257,-3.9197764,0.4366533,0.0035244385,0.0772419381648936,neutral
-728.37726,63.84737,-6.796702,8.697398,-2.7388816,0.3490503,-11.369044,0.18607736,-11.621507,-8.651811,-7.3516273,-3.9598064,-3.4475825,0.0026024606,0.0519772300237341,neutral
-770.86664,85.491714,6.573692,15.811795,10.540723,16.954483,-0.7035442,7.914267,-1.6544685,-1.4567353,2.8554604,3.303988,4.8370976,0.0011632121,0.0630255109054252,neutral
-727.09766,79.94852,-17.029322,7.2597513,4.871838,7.3673596,-14.306727,-4.3764863,-6.887236,-6.512152,-0.04131141,0.58651817,-3.1067188,0.0019414107,0.0705840883875739,neutral
-682.37585,94.25595,8.088109,20.869526,7.556281,18.462164,-7.737594,3.6498573,-9.894824,-0.8045709,3.128355,-1.6335583,-2.6802006,0.0027105731,0.0746687346813725,neutral
-713.52106,81.572136,10.422806,19.672953,10.870365,14.779566,-7.5059347,13.92227,-5.167852,-1.9298288,2.41937,-2.472002,1.2329038,0.0024597663,0.0534002130681818,neutral
-804.2408,87.265015,15.950047,20.88351,11.536418,16.146484,1.4695988,4.799459,-0.26299897,-0.12396555,5.91643,1.6510326,-3.3918803,0.00089299283,0.049527291839701,neutral
-578.1701,73.206566,2.0347974,14.9115305,-0.5970036,8.493226,-12.140992,-1.3571066,-11.369602,-6.9111547,-3.3266375,-0.852319,-2.8861938,0.007541161,0.1095241970486111,neutral
-732.5187,76.38943,17.638344,26.667929,5.4494395,18.025309,1.0683861,10.585946,3.309341,1.4424692,-0.6325086,0.84913546,2.8457286,0.0024167218,0.0567027088702749,neutral
-722.42004,76.77516,0.25772095,12.855944,2.5285304,10.758529,-7.955712,4.1667466,-5.388261,-5.8595543,-5.708275,-0.17370072,-4.368734,0.0024078863,0.0581039980233433,neutral
-753.37396,75.758835,9.839034,10.687641,4.9769444,11.26555,0.83134,1.8299725,-2.2822616,-1.562835,-2.237413,1.630011,2.2499719,0.001843511,0.0655967737749169,neutral
-777.7557,53.671146,5.614629,14.474957,1.1254702,3.667881,-8.997254,4.417482,-9.755705,-0.09157311,-1.8970698,-1.3845673,-0.76912206,0.000995105,0.0555486222044728,neutral
-686.42957,84.97954,4.508084,12.335822,9.649668,14.448165,-4.1140437,5.134118,3.7067735,0.8381373,0.41652524,-0.015170354,1.2839541,0.0032937254,0.0588567869582043,neutral
-701.00214,72.10109,5.47984,13.864513,1.0095404,6.3806534,-11.297619,-2.197811,-7.0966225,-2.520555,-3.2190912,-1.6941638,-4.5668797,0.0029003655,0.0550227586360398,neutral
-683.55316,82.000626,9.359661,16.47619,10.891834,18.308075,0.69569117,11.572233,4.9456754,-2.7274406,0.39557284,2.7118635,3.746651,0.0036191356,0.0435416270896656,neutral
-764.68945,68.56538,9.405327,13.641615,-2.346594,9.777697,-12.641463,6.833152,-9.732703,-8.624976,-0.8739626,-4.38308,0.529072,0.0019728655,0.0277173145707831,neutral
-748.77057,94.283585,13.172687,23.818283,7.978391,15.245955,1.0013422,9.203763,-4.628801,-3.8384082,-5.7266774,-0.49448133,4.578367,0.0020879414,0.044512296977796,neutral
-730.7835,56.75626,-12.5367365,10.968934,-1.9580785,1.96696,-13.763713,0.01771969,-9.321493,-7.3453584,-3.0561295,-3.2825348,-5.018789,0.0020670204,0.0525405200559701,neutral
-636.8203,82.71262,14.480187,15.694304,10.175739,12.973734,-5.7500615,6.175653,0.86277217,-5.6335373,-3.6741252,-0.05774523,2.3700402,0.005130753,0.0600455030998659,neutral
-691.59784,60.5276,-1.5540609,10.381246,-4.6274877,12.683829,-8.411634,-3.2070198,-5.726064,-7.8658857,-4.9420195,-4.4124484,1.3065821,0.0023582391,0.0670109326625387,neutral
-654.7453,77.3387,1.8005472,6.3811746,6.2309127,20.27821,-8.4755,3.129455,0.42228782,-1.6587836,-5.9624143,-3.0395348,2.8467267,0.0051183878,0.0611826144052706,neutral
-717.1823,61.52473,-9.561805,4.5304594,-4.689971,0.42591485,-12.630183,-3.0818665,-11.383424,-8.497087,-4.7001457,-5.5769963,-6.910686,0.0022204816,0.0545342856488269,neutral
-714.9957,69.68935,3.9245641,11.92419,6.4217234,11.011614,-2.878103,4.5095577,-4.476109,-2.6715493,-7.4992843,-2.9622657,1.8734846,0.0027071815,0.0466268831433224,neutral
-640.2968,64.62258,-5.6087327,3.4770446,-2.1005533,2.704671,-9.134014,2.263086,-9.458851,-4.5997624,-3.9467952,-1.7240582,-3.9413574,0.0051298533,0.0642462261652542,neutral
-662.19574,81.63297,-3.5776653,16.832031,1.7413347,13.511324,-3.946744,-3.5146737,-10.031097,-0.40375623,-3.0484474,-6.706131,-0.13584165,0.004081339,0.0724348166793313,neutral
-736.3026,60.053993,-3.5667987,5.5998893,-4.1997547,1.9165611,-8.695419,0.44696984,-13.65015,-6.8596015,-7.689395,-4.0506606,-5.079769,0.002500966,0.0492368816164495,neutral
-717.5823,78.185074,5.8663735,13.899031,9.541054,13.190982,-4.544507,6.119659,-1.285196,-4.5285864,-3.6096148,2.6806614,2.2844653,0.002031557,0.0630335856958762,neutral
-732.2728,74.715416,-11.193757,9.882124,1.4883375,8.246992,-9.908221,-4.1388254,-6.7703867,-6.9630594,-0.82840997,-0.029410506,-2.3578668,0.0020908746,0.0651748657226562,neutral
-670.8587,76.79632,11.147035,15.564753,5.9507504,17.093586,-6.5601497,0.97778755,-11.249627,-3.3218868,-0.9775271,-3.03093,-4.4691815,0.0030482374,0.0825648356958762,neutral
-712.07556,76.01943,12.36628,21.779139,8.561011,15.253534,-6.755793,12.9458065,-7.8019505,-2.1838298,-0.115248896,-2.7567081,0.26295003,0.0028752466,0.0623735175075301,neutral
-794.5776,78.50653,11.635482,24.444126,9.2387905,17.8448,2.8762093,5.36347,-1.5300014,-2.4725573,2.596453,2.0632522,-2.5561259,0.00097233953,0.0592676717252396,neutral
-566.4882,66.1096,3.7538128,7.080296,-0.90836763,11.579635,-11.926804,-1.9896832,-14.338025,-9.761962,-2.6482642,0.05139256,-3.2751243,0.011326294,0.0953998620014245,neutral
-739.2804,70.36791,17.302437,28.55305,9.391957,17.10453,1.538597,8.9337435,2.2974148,1.7264218,-0.45298386,2.2758436,2.7612376,0.0021423553,0.0529566159676079,neutral
-692.4902,75.90439,2.112299,13.222737,0.90738463,14.055507,-7.4258966,1.2569332,-7.5006456,-8.698587,-4.9581227,0.9658427,-5.4881744,0.0033768811,0.0807282035872781,neutral
-746.4887,71.78011,5.5644608,10.422284,4.2007465,12.986828,1.4725289,1.646214,-3.140142,-4.0793667,-2.338433,0.9254924,3.735377,0.0019020388,0.0649007161458333,neutral
-765.14105,51.844822,3.912501,12.692248,-1.3999422,3.8285527,-8.389104,4.507469,-12.085243,-0.79925096,-3.326051,-1.0671655,-2.4400754,0.001514765,0.0624805286618098,neutral
-668.2037,86.44399,7.5614276,11.908908,7.6258826,17.00748,-2.164239,5.715648,1.9970465,0.9149661,0.21558268,-0.5619316,0.7254582,0.004083052,0.0568734278250774,neutral
-663.13184,68.17052,3.6824095,14.193284,-0.21097398,8.066274,-12.715483,-6.6121387,-9.278654,-3.1881666,-4.1731033,0.03463262,-4.704887,0.0045655626,0.068928554918639,neutral
-673.39343,87.84526,9.991494,19.313723,8.3713875,19.045908,-0.23117799,13.769769,3.5123286,-5.331785,-2.3626564,3.7277365,1.3713242,0.004541563,0.0537777236892097,neutral
-785.0691,59.159843,12.515004,17.7636,-4.2677794,7.6800723,-11.846792,9.54002,-7.7785096,-8.979356,-2.9706116,-3.5958915,-1.0531086,0.0017866482,0.0374958061733128,neutral
-746.71844,84.853096,10.113579,24.941141,10.38995,16.089588,3.3290765,9.692618,-2.2739751,-1.981448,-5.3411508,2.425751,5.5947146,0.0020711373,0.0586889102436102,neutral
-745.69836,53.83832,-3.770981,11.012442,-2.297638,3.439384,-10.863487,0.8669075,-9.964824,-5.620054,-2.457335,-3.1111033,-3.7628179,0.0018374678,0.0538091984326625,neutral
-639.174,82.665886,8.42459,13.437811,7.239353,13.008188,-5.7305975,5.096093,-0.6625722,-6.499319,-5.6319113,-0.7061517,1.1822314,0.006163119,0.0555614945451183,neutral
-712.90045,70.99918,2.5188584,11.849671,-6.8973036,13.638405,-7.548912,-0.040309973,-8.790853,-8.347915,-5.1621833,-2.6026192,1.5763351,0.0026339574,0.0592857225406804,neutral
-647.62885,70.053185,-2.6149004,5.3701506,2.004189,17.809736,-11.133021,0.9463768,-1.48364,-4.695195,-7.283162,-4.738321,0.61571693,0.0056930655,0.0539175724637681,neutral
-708.31976,63.369892,-6.8119807,8.808127,-5.166002,0.8405812,-9.831654,-2.8697004,-12.031708,-6.9782376,-2.8792148,-6.4032564,-4.850937,0.0028156543,0.0513253757331378,neutral
-710.9753,67.56488,5.7822413,13.230727,6.190846,12.628254,-1.6751696,5.657493,-4.950634,-3.4775453,-7.416558,-1.9370041,2.2715254,0.0025207684,0.0538354656040268,neutral
-659.5008,61.314804,-5.997138,4.490148,-2.6454024,2.5160272,-10.72228,2.685003,-10.316002,-4.756049,-4.690621,-2.4549735,-4.5527906,0.004685411,0.070465629622781,neutral
-652.5885,77.51371,-1.5408561,17.84109,0.7131475,14.448554,-2.552997,-4.670741,-12.221157,-1.5976421,-3.854779,-7.1611824,-1.4848601,0.004365069,0.1021691070743865,neutral
-757.0034,64.36532,-3.909103,9.784699,-5.917266,3.065989,-9.173676,0.6990711,-11.8528185,-7.5447917,-6.88173,-4.3182592,-4.1394053,0.002098943,0.0526315789473684,neutral
-743.37396,79.36496,9.5264225,17.085663,7.9080863,13.541262,-3.4233587,6.993732,-2.1070843,-4.7845626,-0.5450686,2.7404082,1.3729209,0.0016613568,0.0700524685650887,neutral
-739.9889,78.82426,-13.175588,7.84388,1.160188,7.9514666,-11.558872,-4.7770457,-7.6044974,-7.61289,-1.4622028,-0.69141454,-4.2912583,0.0020881924,0.0672951335139318,neutral
-682.14435,90.102974,12.780686,22.229658,5.2732944,17.1316,-6.824179,3.4352593,-10.751446,0.38751313,3.329706,-4.0515714,-3.0682955,0.0024470203,0.0899939903846153,neutral
-707.11816,78.951454,9.952194,20.884295,9.219158,13.815606,-3.8895662,12.485267,-5.8106256,-1.650964,-0.046970636,-1.0281693,2.5656006,0.0027242315,0.0510558154445288,neutral
-786.6148,82.17687,11.750974,21.509884,11.027833,15.774215,0.9615348,4.918613,-0.84726685,-2.5568788,1.9989246,1.6798427,-2.8888485,0.0010594014,0.0491959421258223,neutral
-618.22595,64.04152,9.298012,18.992546,2.3333464,13.190053,-6.9062486,4.870789,-8.8215475,-3.6123178,-2.2860518,-0.78382957,-1.8436751,0.0077036154,0.1020337975543478,neutral
-733.25635,79.312614,20.48084,33.42806,10.248782,20.7964,2.6663637,9.544006,2.682493,2.2736032,0.6557429,2.9822109,5.3194246,0.0022323923,0.0514956480704698,neutral
-703.15576,71.29996,3.0213673,16.090374,-2.5790958,13.61456,-8.11228,4.207314,-6.7119956,-7.473991,-0.78662556,-0.3370903,-5.905824,0.0030152914,0.0718675540689149,neutral
-735.38324,72.62127,-1.1814308,11.689086,4.2535324,10.882351,0.44630846,1.0610938,-2.5453868,-3.8680258,-4.9072804,1.5997665,3.6446865,0.002328554,0.0707709878177966,neutral
-762.94727,56.769203,3.8833485,13.072183,-3.7232728,2.3344016,-9.853498,5.2469516,-12.928979,-0.875042,-2.575524,-3.1367457,-1.8810503,0.0015811021,0.0598589085820895,neutral
-670.78754,85.75797,7.281554,14.447363,8.060854,16.174082,-3.681625,6.474453,1.958257,-1.7364266,0.062139414,0.24676485,0.5733344,0.0040986026,0.0559539794921875,neutral
-665.2718,57.933636,5.258662,13.2363825,0.6685574,6.644537,-11.583323,-4.4777904,-8.907586,-3.7285647,-3.0972328,-3.317338,-4.5042996,0.0042802943,0.070000583022388,neutral
-664.89935,85.49887,10.4044895,16.15825,9.546787,17.869493,1.5054278,14.3491335,3.5066981,-7.1630135,-2.1865177,4.609823,3.225154,0.004415345,0.0507992235429447,neutral
-791.3226,70.86482,9.540017,12.143424,-4.176733,7.5994625,-10.357199,5.981751,-9.464372,-9.756189,-2.3723316,-3.238916,1.9354327,0.001880084,0.0338187188458588,neutral
-738.2863,80.14383,10.001028,23.844364,9.24603,13.425354,2.3552885,8.208501,-5.2568326,-3.7405076,-5.477604,0.55408126,3.7995937,0.002394602,0.0544150075604838,neutral
-732.2666,51.451668,-8.581237,11.2424965,-3.3646975,3.6419754,-13.261434,0.28529528,-11.349352,-6.3505616,-2.433368,-3.6046143,-4.574211,0.0020427064,0.055919968938253,neutral
-648.77716,81.550735,8.514516,12.44976,7.86003,14.682076,-3.1039953,4.0233374,-1.457473,-6.314276,-4.5384803,0.26184112,1.1791819,0.004926683,0.0547370357789855,neutral
-707.47736,64.67533,1.4038469,12.914077,-5.1549263,14.195786,-6.8831935,3.0217373,-8.002178,-9.591667,-6.0354967,-2.3945637,1.3856721,0.0024416414,0.0727391989834337,neutral
-645.6034,73.77888,2.402237,6.2687244,3.280682,18.80483,-9.786632,1.143568,-2.1509595,-4.670906,-7.3264365,-3.192632,0.20119272,0.00567399,0.0510999891493055,neutral
-703.7925,58.8638,-6.591528,9.530988,-5.4352565,0.80102116,-9.16663,-5.330837,-13.281657,-7.27472,-4.476258,-6.7058496,-5.9440117,0.003312852,0.0587772166235207,neutral
-759.92175,75.78352,6.0236053,14.557394,6.4541883,14.631508,-3.0045512,4.6209702,-5.200016,-0.70743024,-7.7902875,-3.5649488,2.18097,0.0015786955,0.0459293227597891,neutral
-698.07587,70.690025,-2.29,12.190497,1.1434665,4.619095,-9.343386,5.610262,-9.482477,-2.085234,-2.5283892,-2.290745,-2.394948,0.0031098386,0.0628987630208333,neutral
-671.14734,83.922676,4.4144216,18.822298,1.0988159,15.853525,-4.581457,-1.1035548,-9.938231,2.6786115,-2.2649739,-4.625286,2.9222016,0.0026532232,0.0561550564236111,neutral
-685.4222,69.444305,-6.9250383,5.362705,-4.1712217,-1.5243719,-10.922848,-0.3645925,-12.17426,-8.349275,-8.175558,-3.344232,-3.674832,0.002631656,0.0594171262254902,neutral
-771.8971,89.86551,9.974906,20.977041,9.715435,10.355269,-0.349787,3.5301304,0.4618424,0.7788866,2.690211,1.9315166,3.5646236,0.0010454286,0.0554231427275725,neutral
-760.0963,70.38165,-7.0369244,14.895753,1.5187685,12.564792,-9.262008,-9.043738,-9.607506,-5.015429,0.31003767,-1.3192323,-3.5726733,0.0008249549,0.0467976995382585,neutral
-723.5354,91.70692,10.917064,14.811353,5.649635,19.64639,-5.7743382,1.5954498,-5.9063153,-2.3711736,4.5014014,-2.2118201,-1.8213048,0.0016798396,0.0588978024348159,neutral
-738.0594,82.47542,17.920815,19.800371,11.05121,16.203539,-6.0473595,15.335152,-6.8628674,-0.20040956,-0.8113586,-0.9571449,1.6784495,0.0016630144,0.0566955205251479,neutral
-792.878,84.40292,11.71125,22.659185,10.39631,20.110916,3.0317125,2.0337048,-2.0643637,-0.7247252,5.1504865,1.3622675,-1.8162385,0.00089978817,0.0521790135782747,neutral
-563.8482,79.28924,-8.3692875,14.4295,3.5074441,7.566788,-16.690989,2.3697815,-13.943831,-11.143151,-5.2998753,-6.1051035,3.7261317,0.0077925026,0.1296131646455224,neutral
-768.209,72.479195,18.02152,29.731403,10.034633,21.671068,6.7402043,12.245995,6.0878534,3.5209444,2.2097752,4.1666636,6.3089046,0.00107532,0.0517975748167752,neutral
-691.65106,76.12364,0.3863448,13.250223,-0.7968722,11.390364,-8.911751,5.0593085,-4.259523,-5.5769563,-4.1232967,-3.4571264,-5.8168206,0.0028624404,0.0598702759125344,neutral
-767.8199,96.30624,12.284285,16.002476,9.135193,16.56061,1.7922683,3.5189059,-2.266263,-3.4389617,-1.2352518,0.43880212,2.257174,0.0015346013,0.0610068044354838,neutral
-741.97723,51.872158,1.3553998,11.463151,-2.5505354,1.9403535,-13.237915,-0.38334844,-10.5269785,-3.554917,-3.6411884,-6.252504,-2.375358,0.0015110791,0.0424888154380341,neutral
-695.8135,96.01543,10.699649,15.173567,7.7363544,15.4044485,-2.7497926,4.937383,2.1545105,2.9831789,1.2629075,-0.028954715,0.5931697,0.0023771364,0.0499300373134328,neutral
-733.0371,70.21656,4.3042326,12.183165,-0.66956604,6.740268,-9.443459,-3.4874313,-8.388339,-0.2984256,-2.4943273,-1.5153266,-5.50238,0.002175475,0.0471219468390804,neutral
-683.7291,76.50976,10.31188,15.088936,8.491928,17.289288,2.6150122,10.975221,0.85034627,-1.7845162,0.4972921,2.3279524,3.0557933,0.0033844416,0.0481112865691489,neutral
-720.6222,61.749256,1.7936525,14.88203,-0.65451944,8.332651,-10.6930895,5.308539,-6.5430293,-9.690411,-1.8537244,-4.521874,-2.2747445,0.002518534,0.038307611196319,neutral
-788.3855,80.48802,18.790678,32.92984,10.20526,18.362104,10.092591,7.8558693,-0.21809621,1.389616,1.4552127,0.4418482,5.335185,0.0011304887,0.0545219089673913,neutral
-818.6541,54.588047,-8.855901,12.798459,0.597035,4.5523486,-11.999045,-0.9807171,-10.778258,-6.4238167,-2.0219967,-5.9669466,-1.4940667,0.00078227976,0.0429214969758064,neutral
-664.46844,86.81846,14.738372,16.534563,8.812849,16.622522,-4.91224,6.0436254,-1.5783945,-4.0492225,-2.1370888,0.09170226,3.0136397,0.003458101,0.0552762718502638,neutral
-737.4777,63.482704,1.217715,18.055117,-4.0275793,13.973715,-6.386613,0.75536716,-5.8698025,-4.3970137,-2.7897563,-3.9118836,1.6112623,0.0015098478,0.068871187876506,neutral
-708.9373,70.33675,9.4891615,11.994717,4.6041145,16.881027,-4.730681,4.9154396,-0.3991516,-0.49249023,-2.7941053,-1.9774808,1.5171,0.0024675245,0.0549336042225201,neutral
-765.3686,55.468166,-0.96931225,8.35543,-3.428298,4.801448,-9.493275,-1.7996467,-12.925551,-7.362321,-6.6992645,-5.9965363,-6.5075603,0.0013203676,0.0520959654850746,neutral
-735.0066,79.09305,8.141051,11.413549,5.174124,15.393283,-2.7520719,2.9645836,-5.388972,-1.6918324,-5.8528347,-4.0432878,3.0046406,0.0016762057,0.0330384384245562,neutral
-685.27014,66.034645,-5.3122635,8.085226,-0.22538465,3.311465,-9.604638,4.0205464,-10.162641,-3.7117693,-2.5037436,-3.869077,-2.9866397,0.0031890122,0.0495878179022606,neutral
-665.8279,84.23869,-1.4056453,15.918263,0.41480905,13.920028,-6.476468,-2.6288373,-10.275372,1.306762,-1.8277773,-4.7251716,2.3447976,0.0028161404,0.0548238292378917,neutral
-698.5949,80.241234,-13.513393,3.7782693,-2.8895528,1.0406879,-10.54268,-1.141015,-12.096688,-7.6509366,-6.0217,-2.9276996,-3.198227,0.0028494976,0.0554067062856125,neutral
-804.9232,80.672035,11.463864,24.329596,12.855054,9.199524,1.4415293,4.7873425,1.5345405,0.30472466,5.752466,2.2068622,2.323348,0.00066299166,0.0620789366883116,neutral
-752.2438,79.83723,-6.4221306,14.22143,1.2245238,14.126369,-9.305336,-9.426623,-12.13879,-7.8767805,2.4101808,-0.3793958,-2.7276564,0.00095005176,0.0497057629870129,neutral
-738.5714,98.130775,7.3637176,12.641453,4.1095085,17.988504,-6.0968604,1.7653865,-6.6732774,-2.1309683,4.278433,-1.4487145,-2.1509602,0.0014864164,0.0540948851495726,neutral
-751.6501,79.0511,14.257443,23.402027,9.972132,14.853502,-2.5346234,13.012793,-6.0469337,0.34785232,-0.6599206,-0.7449382,1.2615848,0.0015375095,0.0607086181640625,neutral
-748.0795,88.041374,-5.005884,24.20742,15.657138,19.641262,-1.9607716,-0.5803836,-5.1641545,-1.7119659,7.145405,3.7931056,-3.8685517,0.0010548552,0.0731875873602236,neutral
-604.18646,74.32354,0.17630854,11.393934,2.274648,11.601082,-10.305855,4.1613684,-10.589807,-3.807657,0.19455001,-1.6261134,-2.9923494,0.007174197,0.1091973118528106,neutral
-753.7456,86.04419,19.870487,31.126114,12.524379,23.635899,7.207679,11.000593,4.222551,2.1261406,1.4994438,2.4003177,5.1807437,0.0013217741,0.0409079847244409,neutral
-701.8375,88.787476,0.10012421,14.011082,0.91848356,12.445513,-6.926969,6.0673585,-6.958461,-6.100503,-3.3593318,-4.80974,-5.234351,0.0023134209,0.0709690589689265,neutral
-760.3465,86.168915,7.410422,12.323776,6.122831,14.394656,0.45108432,3.6656313,-1.8169687,-1.5772227,-1.5608,-1.2766178,1.7647879,0.0016846342,0.0503519557466442,neutral
-805.89764,50.434246,2.8658283,15.137083,-0.14874668,4.572341,-10.1481285,3.43048,-9.754265,-1.1678054,-4.8118634,-5.5164776,-1.7368157,0.0009108401,0.048125583022388,neutral
-684.0992,87.81722,4.864722,16.20318,7.5152936,14.567292,-2.81845,5.828855,-0.5176385,-0.37113857,2.2748313,-1.2571312,-0.6006571,0.0027398032,0.0669805270522388,neutral
-677.4262,69.57674,6.553035,15.260473,2.2042475,8.824962,-12.819687,-4.0310225,-5.3883247,-2.3762112,-2.4838784,-4.487965,-5.5764155,0.003093072,0.0573118435778236,neutral
-673.7038,75.74703,14.209861,21.928137,9.814887,20.580538,2.128836,11.945294,2.2775924,-1.3556762,0.13576563,3.5965176,3.5989196,0.004174354,0.0488560688064759,neutral
-733.8371,67.95543,2.9854019,13.132647,2.8292713,9.173277,-11.106443,7.923678,-7.2644057,-8.801796,-0.5971422,-3.7836246,-0.83947504,0.0022798893,0.0372787475585937,neutral
-774.56104,87.54636,19.207731,33.02402,11.656986,20.653204,7.6573772,7.0383334,0.20865762,-0.55462754,-0.7447872,1.2421249,5.8095574,0.0012801136,0.0440741055253623,neutral
-823.37415,52.18623,-10.142682,10.648246,-2.6114569,3.2808154,-9.381936,-2.116173,-9.196388,-7.7184644,-2.7434697,-5.867174,-2.1640801,0.00070432504,0.037256588152985,neutral
-641.7172,90.89462,10.229212,13.374674,8.747333,15.625737,-7.469733,2.661899,-0.33379024,-6.5001807,-2.6911926,-0.25181654,1.585249,0.0041789645,0.0644557222406914,neutral
-708.0036,65.88851,-0.37038976,11.793811,-0.45767185,11.958793,-5.9902444,0.91911346,-5.9811587,-5.9621735,-4.486665,-3.1916835,2.663595,0.0015824474,0.0658538362873134,neutral
-731.4882,70.913635,6.48944,12.725701,3.7193987,17.03768,-4.4894657,4.3252664,-4.06839,-0.7821839,-3.9224393,-3.269229,1.7539625,0.002324986,0.0614365183246073,neutral
